Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Runner Runner,(2013),15,88 min,"
Crime, Thriller            ",5.6,"
36        
        Metascore
            ","
    When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",Brad Furman,Ben Affleck,Justin Timberlake,Gemma Arterton,Anthony Mackie,"60,411",$19.32M
Pride and Glory,(2008),15,130 min,"
Crime, Drama, Thriller            ",6.6,"
45        
        Metascore
            ","
    A family's moral codes are tested when Ray Tierney investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. For Ray, the truth is revelatory, a Pandora's Box that threatens to upend not only the Tierney legacy but the entire NYPD.",Gavin O'Connor,Edward Norton,Colin Farrell,Noah Emmerich,Jon Voight,"58,899",$15.71M
Underwater,(2020),15,95 min,"
Action, Horror, Sci-Fi            ",5.8,"
48        
        Metascore
            ","
    A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.",William Eubank,Kristen Stewart,Vincent Cassel,Mamoudou Athie,T.J. Miller,"58,111",
The Omen,(2006),15,110 min,"
Action, Adventure, Fantasy            ",5.5,"
43        
        Metascore
            ","
    An American official realizes that his young son may literally be the Devil incarnate.",John Moore,Liev Schreiber,Julia Stiles,Seamus Davey-Fitzpatrick,David Thewlis,"56,106",$54.61M
Sexy Beast,(2000),18,89 min,"
Crime, Drama, Thriller            ",7.3,"
79        
        Metascore
            ","
    Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",Jonathan Glazer,Ray Winstone,Ben Kingsley,Ian McShane,Amanda Redman,"55,056",$6.95M
Poltergeist,(2015),15,93 min,"
Horror, Thriller            ",4.9,"
47        
        Metascore
            ","
    A family whose suburban home is haunted by evil forces must come together to rescue their youngest daughter after the apparitions take her captive.",Gil Kenan,Sam Rockwell,Rosemarie DeWitt,Kennedi Clements,Saxon Sharbino,"54,798",$47.43M
Night Watch,(2004),15,114 min,"
Action, Fantasy, Horror            ",6.4,"
58        
        Metascore
            ","
    A fantasy-thriller set in present-day Moscow where the respective forces that control daytime and nighttime do battle.",Timur Bekmambetov,Konstantin Khabenskiy,Vladimir Menshov,Mariya Poroshina,Valeriy Zolotukhin,"52,166",$1.49M
Victor Frankenstein,(2015),12A,110 min,"
Drama, Horror, Sci-Fi            ",6.0,"
36        
        Metascore
            ","
    Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",Paul McGuigan,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,"52,005",$5.78M
Flight of the Phoenix,(2004),12A,113 min,"
Action, Adventure, Drama            ",6.1,"
47        
        Metascore
            ","
    Survivors of a plane crash in the Mongolian desert work together to build a new plane.",John Moore,Dennis Quaid,Miranda Otto,Giovanni Ribisi,Tyrese Gibson,"51,521",$21.01M
Courage Under Fire,(1996),15,116 min,"
Action, Drama, Mystery            ",6.6,"
77        
        Metascore
            ","
    A U.S. Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.",Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Michael Moriarty,"49,992",$59.03M
Sleeping with the Enemy,(1991),15,99 min,"
Drama, Thriller            ",6.3,"
48        
        Metascore
            ","
    A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",Joseph Ruben,Julia Roberts,Patrick Bergin,Kevin Anderson,Elizabeth Lawrence,"49,672",$101.60M
Martha Marcy May Marlene,(2011),15,102 min,"
Drama, Mystery, Thriller            ",6.9,"
75        
        Metascore
            ","
    Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",Sean Durkin,Elizabeth Olsen,Sarah Paulson,John Hawkes,Christopher Abbott,"48,574",$2.98M
Don't Say a Word,(2001),15,113 min,"
Drama, Mystery, Thriller            ",6.3,"
38        
        Metascore
            ","
    When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret...",Gary Fleder,Michael Douglas,Sean Bean,Brittany Murphy,Skye McCole Bartusiak,"48,510",$55.00M
The East,(2013),15,116 min,"
Adventure, Crime, Drama            ",6.8,"
68        
        Metascore
            ","
    An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.",Zal Batmanglij,Brit Marling,Alexander Skarsgård,Elliot Page,Toby Kebbell,"48,390",$2.27M
Chain Reaction,(1996),12,107 min,"
Action, Drama, Sci-Fi            ",5.7,,"
    Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.",Andrew Davis,Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward,"47,740",$20.55M
The Sentinel,(2006),12A,108 min,"
Action, Crime, Thriller            ",6.1,"
49        
        Metascore
            ","
    A Secret Service agent is framed as the mole in an assassination attempt on the President. He must clear his name and foil another assassination attempt while on the run from a Secret Service Protective Intelligence Division agent.",Clark Johnson,Michael Douglas,Kiefer Sutherland,Kim Basinger,Eva Longoria,"47,652",$36.28M
Sleuth,(1972),AA,138 min,"
Mystery, Thriller            ",8.0,,"
    A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews,"44,541",$4.08M
24: Live Another Day,(2014),15,46 min,"
Action, Crime, Drama            ",8.4,,"
    Jack Bauer comes out of hiding in London to stop a huge terrorist attack on British soil.",Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,,"42,990",
Pathfinder,(2007),15,99 min,"
Action, Adventure, Drama            ",5.4,"
29        
        Metascore
            ","
    A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.",Marcus Nispel,Karl Urban,Clancy Brown,Moon Bloodgood,Russell Means,"42,493",$10.23M
Rising Sun,(1993),18,125 min,"
Action, Crime, Drama            ",6.3,"
56        
        Metascore
            ","
    When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.",Philip Kaufman,Sean Connery,Wesley Snipes,Harvey Keitel,Cary-Hiroyuki Tagawa,"42,265",$63.10M
Dead Ringers,(1988),18,116 min,"
Drama, Horror, Thriller            ",7.3,"
86        
        Metascore
            ","
    Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.",David Cronenberg,Jeremy Irons,Geneviève Bujold,Heidi von Palleske,Barbara Gordon,"41,095",$9.13M
The Poseidon Adventure,(1972),A,117 min,"
Action, Adventure, Drama            ",7.1,"
70        
        Metascore
            ","
    Nine people explore a cruise ship at sea in a manner that turns their whole lives upside down.",Ronald Neame,Gene Hackman,Ernest Borgnine,Shelley Winters,Red Buttons,"40,639",$84.56M
Taxi,(I) (2004),12A,97 min,"
Action, Comedy, Crime            ",4.5,"
27        
        Metascore
            ","
    A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.",Tim Story,Queen Latifah,Jimmy Fallon,Gisele Bündchen,Henry Simmons,"39,904",$36.61M
Stuber,(2019),15,93 min,"
Action, Comedy, Crime            ",6.2,"
42        
        Metascore
            ","
    A detective recruits his Uber driver into an unexpected night of adventure.",Michael Dowse,Dave Bautista,Kumail Nanjiani,Mira Sorvino,Natalie Morales,"39,723",$22.37M
Morgan,(2016),15,92 min,"
Action, Horror, Sci-Fi            ",5.8,"
48        
        Metascore
            ","
    A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.",Luke Scott,Kate Mara,Anya Taylor-Joy,Rose Leslie,Michael Yare,"39,305",$3.91M
The Towering Inferno,(1974),A,165 min,"
Action, Drama, Thriller            ",7.0,"
69        
        Metascore
            ","
    At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",John Guillermin,Paul Newman,Steve McQueen,William Holden,Faye Dunaway,"39,107",$116.00M
High Crimes,(2002),12,115 min,"
Crime, Drama, Mystery            ",6.4,"
48        
        Metascore
            ","
    High powered lawyer Claire Kubik finds her world turned upside down when her husband, who has been living under a false name, is arrested by military police and placed on trial for the murder of villagers while he was in the Marines.",Carl Franklin,Jim Caviezel,Morgan Freeman,Ashley Judd,Adam Scott,"38,838",$41.54M
Deception,(I) (2008),15,107 min,"
Crime, Drama, Mystery            ",6.1,"
31        
        Metascore
            ","
    An accountant is introduced to a mysterious sex club known as The List by his lawyer friend. But in this new world, he soon becomes the prime suspect in a woman's disappearance and a multi-million dollar heist.",Marcel Langenegger,Hugh Jackman,Ewan McGregor,Michelle Williams,Bruce Altman,"37,567",$4.60M
The Good Son,(1993),PG,87 min,"
Drama, Thriller            ",6.4,"
45        
        Metascore
            ","
    A young boy stays with his aunt and uncle and befriends his cousin, a boy of the same age who shows increasing signs of violent and psychopathic behavior.",Joseph Ruben,Macaulay Culkin,Elijah Wood,Wendy Crewson,David Morse,"36,289",$44.59M
Paradise Lost,(2006),18,93 min,"
Horror, Mystery, Thriller            ",5.4,"
36        
        Metascore
            ","
    A group of young backpackers' vacation turns sour when a bus accident leaves them marooned in a remote Brazilian rural area that holds an ominous secret.",John Stockwell,Josh Duhamel,Melissa George,Olivia Wilde,Desmond Askew,"35,932",$7.03M
Book of Shadows: Blair Witch 2,(2000),15,90 min,"
Adventure, Fantasy, Horror            ",4.0,"
15        
        Metascore
            ","
    A group of tourists arrives in Burkittsville, Maryland after seeing The Blair Witch Project (1999) to explore the mythology and phenomenon, only to come face to face with their own neuroses and possibly the witch herself.",Joe Berlinger,Jeffrey Donovan,Stephen Barker Turner,Erica Leerhsen,Kurt Loder,"35,706",$26.44M
Warrior King,(2005),18,111 min,"
Action, Crime, Drama            ",7.1,"
52        
        Metascore
            ","
    A young fighter named Kham must go to Australia to retrieve his stolen elephant. With the help of a Thai-born Australian detective, Kham must take on all comers, including a gang led by an evil woman and her two deadly bodyguards.",Prachya Pinkaew,Tony Jaa,Nathan Jones,Xing Jin,Petchtai Wongkamlao,"35,040",$11.91M
Wächter des Tages,(2006),15,132 min,"
Action, Fantasy, Horror            ",6.5,"
59        
        Metascore
            ","
    A man who serves in the war between the forces of Light and Dark comes into possession of a device that can restore life to Moscow, which was nearly destroyed by an apocalyptic event.",Timur Bekmambetov,Konstantin Khabenskiy,Mariya Poroshina,Vladimir Menshov,Galina Tyunina,"33,228",$0.45M
Shutter,(I) (2008),15,85 min,"
Horror, Mystery, Thriller            ",5.3,"
37        
        Metascore
            ","
    A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",Masayuki Ochiai,Joshua Jackson,Rachael Taylor,James Kyson,Megumi Okina,"32,303",$25.93M
The Marine,(2006),15,92 min,"
Action, Comedy, Drama            ",4.7,"
45        
        Metascore
            ","
    A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.",John Bonito,John Cena,Kelly Carlson,Robert Patrick,Anthony Ray Parker,"32,233",$18.84M
The Skulls,(2000),15,106 min,"
Action, Crime, Drama            ",5.6,"
24        
        Metascore
            ","
    A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price.",Rob Cohen,Joshua Jackson,Paul Walker,Hill Harper,Leslie Bibb,"30,837",$35.01M
The Limey,(1999),18,89 min,"
Crime, Drama, Mystery            ",7.0,"
73        
        Metascore
            ","
    An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.",Steven Soderbergh,Terence Stamp,Peter Fonda,Lesley Ann Warren,Luis Guzmán,"30,012",$3.19M
Club Dread,(2004),15,104 min,"
Comedy, Horror, Mystery            ",5.7,"
45        
        Metascore
            ","
    When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.",Jay Chandrasekhar,Jay Chandrasekhar,Bill Paxton,Kevin Heffernan,Elena Lyons,"28,278",$4.99M
The Darkest Minds,(2018),12A,104 min,"
Action, Adventure, Drama            ",5.7,"
39        
        Metascore
            ","
    Imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future.",Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Bradley Whitford,Harris Dickinson,"27,903",$12.70M
12 Rounds,(2009),12A,108 min,"
Action, Crime, Thriller            ",5.6,"
38        
        Metascore
            ","
    Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",Renny Harlin,John Cena,Ashley Scott,Aidan Gillen,Steve Harris,"27,153",$12.23M
A Bigger Splash,(2015),15,125 min,"
Drama, Music, Thriller            ",6.4,"
74        
        Metascore
            ","
    The vacation of a famous rock star and her boyfriend in Italy is disrupted by the unexpected visit of an old friend and his daughter.",Luca Guadagnino,Tilda Swinton,Matthias Schoenaerts,Ralph Fiennes,Dakota Johnson,"27,061",$1.98M
Vanishing Point,(1971),AA,106 min,"
Action, Crime, Thriller            ",7.2,"
61        
        Metascore
            ","
    During the 1970s, car delivery driver Kowalski delivers hot rods in record time but always runs into trouble with the highway cops.",Richard C. Sarafian,Barry Newman,Cleavon Little,Charlotte Rampling,Dean Jagger,"26,359",
The Boys from Brazil,(1978),X,100 min,"
Drama, Mystery, Sci-Fi            ",7.0,"
40        
        Metascore
            ","
    A Nazi hunter in Paraguay discovers a sinister and bizarre plot to rekindle the Third Reich.",Franklin J. Schaffner,Gregory Peck,Laurence Olivier,James Mason,Lilli Palmer,"25,463",$19.00M
Mighty Morphin Power Rangers: The Movie,(1995),PG,95 min,"
Action, Adventure, Family            ",5.2,"
40        
        Metascore
            ","
    A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",Bryan Spicer,Karan Ashley,Johnny Yong Bosch,Steve Cardenas,Jason David Frank,"25,127",$38.19M
The Vanishing,(1993),15,109 min,"
Drama, Horror, Mystery            ",6.3,"
49        
        Metascore
            ","
    The boyfriend of an abducted woman never gives up the search as the abductor looks on.",George Sluizer,Jeff Bridges,Kiefer Sutherland,Nancy Travis,Sandra Bullock,"23,150",$14.54M
The Pyramid,(2014),15,89 min,"
Horror, Mystery, Thriller            ",4.6,"
24        
        Metascore
            ","
    An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.",Grégory Levasseur,Ashley Hinshaw,James Buckley,Denis O'Hare,Christa Nicola,"23,017",$2.76M
Street Fighter: The Legend of Chun-Li,(2009),15,96 min,"
Action, Crime, Thriller            ",3.7,"
17        
        Metascore
            ","
    When a teenager, Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up, she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.",Andrzej Bartkowiak,Kristin Kreuk,Neal McDonough,Michael Clarke Duncan,Chris Klein,"22,917",$8.74M
The Red Sea Diving Resort,(2019),15,129 min,"
Drama, History, Thriller            ",6.6,,"
    Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.",Gideon Raff,Mbulelo Grootboom,Sizo Mahlangu,Michael Kenneth Williams,Masasa Mbangeni,"22,905",
Brokedown Palace,(1999),12,100 min,"
Drama, Mystery, Thriller            ",6.5,"
44        
        Metascore
            ","
    Two women are arrested for smuggling while vacationing in Thailand.",Jonathan Kaplan,Claire Danes,Kate Beckinsale,Bill Pullman,Jacqueline Kim,"21,522",$10.11M
Spooks: The Greater Good,(2015),15,104 min,"
Action, Drama, Thriller            ",6.2,"
47        
        Metascore
            ","
    When a terrorist escapes custody during a routine handover, Will Holloway must team with disgraced MI5 Intelligence Chief Harry Pearce to track him down before an imminent terrorist attack on London.",Bharat Nalluri,Kit Harington,Peter Firth,Jennifer Ehle,Michael Wildman,"21,211",
Sound of My Voice,(2011),15,87 min,"
Drama, Mystery, Sci-Fi            ",6.6,"
67        
        Metascore
            ","
    Two documentary filmmakers attempt to penetrate a cult who worships a woman who claims to be from the future.",Zal Batmanglij,Christopher Denham,Nicole Vicius,Brit Marling,Davenia McFadden,"20,603",$0.41M
High Anxiety,(1977),A,94 min,"
Comedy, Mystery, Thriller            ",6.7,"
55        
        Metascore
            ","
    A psychiatrist with intense acrophobia (fear of heights) goes to work for a mental institution run by doctors who appear to be crazier than their patients, and have secrets that they are willing to commit murder to keep.",Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman,Harvey Korman,"19,717",$31.06M
Marked for Death,(1990),,93 min,"
Action, Adventure, Crime            ",6.0,"
49        
        Metascore
            ","
    A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.",Dwight H. Little,Steven Seagal,Joanna Pacula,Basil Wallace,Keith David,"19,668",$46.04M
Titus,(1999),18,162 min,"
Drama, History, Thriller            ",7.1,"
57        
        Metascore
            ","
    Titus returns victorious from war, only to plant the seeds of future turmoil for himself and his family.",Julie Taymor,Anthony Hopkins,Jessica Lange,Osheen Jones,Dario D'Ambrosi,"19,578",$1.92M
The Gallows,(2015),15,81 min,"
Horror, Mystery, Thriller            ",4.2,"
30        
        Metascore
            ","
    20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.",Travis Cluff,Chris Lofing,Reese Mishler,Pfeifer Brown,Ryan Shoos,"19,191",$22.76M
Swimfan,(2002),12A,85 min,"
Drama, Thriller            ",5.1,"
29        
        Metascore
            ","
    A high school senior with a promising swimming career has a one-night stand with consequences.",John Polson,Jesse Bradford,Erika Christensen,Shiri Appleby,Kate Burton,"18,923",$28.56M
The Yellow Sea,(2010),18,157 min,"
Action, Crime, Drama            ",7.3,"
70        
        Metascore
            ","
    When the attempt to kill a professor goes wrong, a series of violent events are triggered which force a taxi driver to run for his life.",Hong-jin Na,Jung-woo Ha,Kim Yoon-seok,Jo Sung-ha,Cheol-min Lee,"18,704",
Silkwood,(1983),15,131 min,"
Biography, Drama, History            ",7.2,"
64        
        Metascore
            ","
    A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.",Mike Nichols,Meryl Streep,Kurt Russell,Cher,Craig T. Nelson,"18,193",$35.62M
Jumpin' Jack Flash,(1986),15,105 min,"
Comedy, Romance, Thriller            ",5.9,"
52        
        Metascore
            ","
    A computer wiz woman/W.Goldberg works at a computer terminal in a NYC bank. One day she gets a strange message and breaks the code. Suddenly, she finds herself in the middle of dangerous spy business.",Penny Marshall,Whoopi Goldberg,Stephen Collins,John Wood,Carol Kane,"18,084",$25.59M
Pacific Heights,(1990),15,102 min,"
Thriller            ",6.4,"
55        
        Metascore
            ","
    A couple work hard to renovate their dream house and become landlords to pay for it. Unfortunately, one of their tenants has plans of his own.",John Schlesinger,Melanie Griffith,Matthew Modine,Michael Keaton,Mako,"18,046",$29.38M
Silver Streak,(1976),PG,114 min,"
Action, Comedy, Crime            ",6.9,"
41        
        Metascore
            ","
    On a long-distance train trip, a man finds romance but also finds himself in danger of being killed, or at least pushed off the train.",Arthur Hiller,Gene Wilder,Richard Pryor,Jill Clayburgh,Patrick McGoohan,"17,705",
My Cousin Rachel,(2017),12A,106 min,"
Drama, Mystery, Romance            ",6.0,"
63        
        Metascore
            ","
    A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.",Roger Michell,Rachel Weisz,Sam Claflin,Holliday Grainger,Iain Glen,"17,611",$2.68M
The Chase,(1994),15,89 min,"
Action, Adventure, Comedy            ",5.9,,"
    Escaped convict Jack Hammond takes a woman hostage and sets off for the Mexican border with the police hot on his tail.",Adam Rifkin,Charlie Sheen,Kristy Swanson,Henry Rollins,Josh Mostel,"17,111",$8.01M
The Sin Eater,(2003),15,102 min,"
Horror, Mystery, Thriller            ",5.2,"
21        
        Metascore
            ","
    A young priest is sent to Rome to investigate the troubling death of the head of his order.",Brian Helgeland,Heath Ledger,Mark Addy,Shannyn Sossamon,Benno Fürmann,"16,883",$7.66M
Kiss of Death,(1995),18,101 min,"
Crime, Drama, Thriller            ",5.9,,"
    A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster.",Barbet Schroeder,David Caruso,Samuel L. Jackson,Nicolas Cage,Helen Hunt,"16,831",$14.94M
Phantom of the Paradise,(1974),AA,91 min,"
Comedy, Drama, Fantasy            ",7.4,"
67        
        Metascore
            ","
    A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.",Brian De Palma,Paul Williams,William Finley,Jessica Harper,Gerrit Graham,"16,764",
French Connection II,(1975),X,119 min,"
Action, Crime, Drama            ",6.8,"
68        
        Metascore
            ","
    ""Popeye"" Doyle travels to Marseille to find Alain Charnier, the drug smuggler who eluded him in New York.",John Frankenheimer,Gene Hackman,Fernando Rey,Bernard Fresson,Philippe Léotard,"16,570",$12.48M
The Presidio,(1988),15,97 min,"
Action, Crime, Mystery            ",6.0,"
31        
        Metascore
            ","
    A San Francisco civilian police detective is forced to work on a series of murders with his former enemy commanding officer while dating his daughter.",Peter Hyams,Sean Connery,Mark Harmon,Meg Ryan,Jack Warden,"16,519",$20.04M
Southern Comfort,(1981),X,106 min,"
Action, Thriller            ",7.2,"
63        
        Metascore
            ","
    During a routine exercise, a team of National Guards are threatened by angry and violent locals.",Walter Hill,Keith Carradine,Powers Boothe,Fred Ward,Franklyn Seales,"16,345",$5.00M
Urban Legends: Final Cut,(2000),15,97 min,"
Horror, Mystery, Thriller            ",4.3,"
16        
        Metascore
            ","
    A film school is the center of a fresh spate of killings based on urban legends.",John Ottman,Jennifer Morrison,Matthew Davis,Hart Bochner,Loretta Devine,"16,081",$21.47M
The Ghost and Mrs. Muir,(1947),A,104 min,"
Comedy, Drama, Fantasy            ",7.9,,"
    In 1900, a young widow finds her seaside cottage is haunted and forms a unique relationship with the ghost.",Joseph L. Mankiewicz,Gene Tierney,Rex Harrison,George Sanders,Edna Best,"15,641",
Warlock,(1989),15,90 min,"
Action, Fantasy, Horror            ",6.3,,"
    A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit.",Steve Miner,Julian Sands,Lori Singer,Richard E. Grant,Mary Woronov,"14,908",$9.09M
Niagara,(1953),A,92 min,"
Film-Noir, Thriller            ",7.0,,"
    As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.",Henry Hathaway,Marilyn Monroe,Joseph Cotten,Jean Peters,Max Showalter,"14,771",
The Seeker: The Dark Is Rising,(2007),12A,99 min,"
Adventure, Drama, Family            ",4.8,"
38        
        Metascore
            ","
    A boy's life is turned upside down when he learns that he is the last of a group of immortal warriors who have dedicated their lives to fighting the forces of the dark.",David L. Cunningham,Alexander Ludwig,Ian McShane,Christopher Eccleston,Frances Conroy,"14,751",$8.79M
The Man with One Red Shoe,(1985),12,92 min,"
Comedy, Thriller            ",5.7,"
31        
        Metascore
            ","
    A man picked randomly out of a crowd is made the target of CIA survelliance and pursuit.",Stan Dragoti,Tom Hanks,Lori Singer,Dabney Coleman,Charles Durning,"14,704",$8.60M
Unlawful Entry,(1992),18,111 min,"
Crime, Drama, Thriller            ",6.4,,"
    A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.",Jonathan Kaplan,Kurt Russell,Ray Liotta,Madeleine Stowe,Roger E. Mosley,"14,616",$57.14M
Paparazzi,(2004),15,84 min,"
Action, Crime, Drama            ",5.8,"
38        
        Metascore
            ","
    A rising Hollywood actor decides to take personal revenge against a group of four persistent photographers to make them pay for almost causing a personal tragedy involving his wife and son.",Paul Abascal,Cole Hauser,Robin Tunney,Dennis Farina,Daniel Baldwin,"14,543",$15.71M
The Driver,(1978),A,91 min,"
Action, Crime, Thriller            ",7.2,"
56        
        Metascore
            ","
    A getaway driver becomes the latest assignment for a tenacious detective.",Walter Hill,Ryan O'Neal,Bruce Dern,Isabelle Adjani,Ronee Blakley,"14,294",$4.91M
Smilla's Feeling for Snow,(1997),15,121 min,"
Crime, Drama, Mystery            ",6.4,"
45        
        Metascore
            ","
    A 6 y.o. Inuit boy runs off a snowy roof in Copenhagen and dies. Smilla, a half Inuit who lives in the building and knows the boy, looks into it. What makes an acrophobic boy run up on the roof? The clues take her to Greenland.",Bille August,Julia Ormond,Jens Jørgen Fleischer,Agga Olsen,Patrick Field,"13,731",$2.22M
3 Women,(1977),AA,124 min,"
Drama, Mystery, Thriller            ",7.8,"
71        
        Metascore
            ","
    Two roommates/physical therapists, one a vain woman and the other a mysterious teenager, share a bizarre relationship.",Robert Altman,Shelley Duvall,Sissy Spacek,Janice Rule,Robert Fortier,"13,682",
Dreamscape,(1984),15,99 min,"
Action, Adventure, Horror            ",6.3,"
63        
        Metascore
            ","
    A young psychic on the run from himself is recruited by a government agency experimenting with the use of the dream-sharing technology and is given the inverse task of planting an idea into the mind of the U.S. president.",Joseph Ruben,Dennis Quaid,Max von Sydow,Christopher Plummer,Eddie Albert,"13,652",$11.48M
The Fury,(1978),X,118 min,"
Horror, Sci-Fi, Thriller            ",6.4,"
64        
        Metascore
            ","
    A former CIA agent uses the talents of a young psychic to help retrieve his telekinetic son from terrorists, who want to use his mental powers for evil.",Brian De Palma,Kirk Douglas,John Cassavetes,Carrie Snodgress,Charles Durning,"13,555",
The Clearing,(2004),12A,95 min,"
Drama, Mystery, Thriller            ",5.8,"
60        
        Metascore
            ","
    As an executive is held captive by a former employee, it's up to his wife to deliver the ransom.",Pieter Jan Brugge,Robert Redford,Willem Dafoe,Helen Mirren,Alessandro Nivola,"13,213",$5.76M
And Then There Were None,(1945),A,97 min,"
Crime, Drama, Mystery            ",7.5,,"
    Seven guests, a newly hired secretary and two staff are gathered at a manor house on an isolated island by an unknown absentee host and are killed off one-by-one. They work together to determine who the killer is before it's too late.",René Clair,Barry Fitzgerald,Walter Huston,Louis Hayward,Roland Young,"12,920",
Pickup on South Street,(1953),A,80 min,"
Crime, Film-Noir, Thriller            ",7.7,,"
    A pickpocket unwittingly lifts a message destined for enemy agents and becomes a target for a Communist spy ring.",Samuel Fuller,Richard Widmark,Jean Peters,Thelma Ritter,Murvyn Vye,"12,881",
"Hush... Hush, Sweet Charlotte",(1964),15,133 min,"
Crime, Drama, Mystery            ",7.6,,"
    An aging, reclusive Southern belle plagued by a horrifying family secret descends into madness after the arrival of a lost relative.",Robert Aldrich,Bette Davis,Olivia de Havilland,Joseph Cotten,Agnes Moorehead,"12,824",
Captain Alatriste: The Spanish Musketeer,(2006),15,145 min,"
Adventure, Drama, History            ",6.1,,"
    Viggo Mortensen plays the Spanish soldier-turned-mercenary Captain Alatriste, a heroic figure from the country's 17th century imperial wars.",Agustín Díaz Yanes,Viggo Mortensen,Elena Anaya,Unax Ugalde,Eduard Fernández,"12,342",
